frame_time,frame,dist_x,frame_time,H,W,C_x,C_y,dist_y,gps_dist,unit,vehicle
2020-03-06 20:53:55,319200,9.196307692307691,20:53:55,185,286,303.0,444.5,6.647000000000001,7.507965860626356,10,car
2020-03-06 20:53:56,319230,9.29160621761658,20:53:56,185,286,303.0,441.5,6.647000000000001,7.507965860626356,10,car
2020-03-06 20:53:57,319260,9.29160621761658,20:53:57,182,280,302.0,440.0,6.756565934065935,7.507965860626356,10,car
2020-03-06 20:53:58,319290,10.18909090909091,20:53:58,174,266,309.0,439.0,7.067212643678162,7.717238047311454,10,car
2020-03-06 20:53:59,319320,12.453333333333331,20:53:59,142,216,336.0,423.0,8.659823943661973,8.58615730143211,10,car
2020-03-06 20:54:00,319350,18.48742268041237,20:54:00,92,142,381.0,408.0,13.366250000000003,11.506611543802666,10,car
2020-03-06 20:54:01,319380,26.371764705882352,20:54:01,66,100,398.0,403.0,18.631742424242425,16.02280480270542,10,car
2020-03-06 20:54:02,319410,33.208888888888886,20:54:02,55,82,403.0,394.5,22.35809090909091,24.57296449945493,10,car
2020-03-06 20:54:03,319440,37.36,20:54:03,45,62,409.0,397.5,27.326555555555558,28.031788458837514,10,car
2020-03-06 20:54:04,319470,45.98153846153846,20:54:04,39,54,419.0,389.5,31.530641025641028,30.900059432643676,10,car
2020-03-06 20:54:05,319500,43.73853658536585,20:54:05,37,50,423.0,401.5,33.23500000000001,36.40686156739293,10,car
2020-03-06 20:54:06,319530,51.23657142857143,20:54:06,31,42,427.0,390.5,39.667580645161294,40.712117823550685,10,car
2020-03-06 20:54:07,319560,57.84774193548387,20:54:07,29,40,434.0,392.5,42.40327586206897,42.101012859098326,10,car
2020-03-06 20:54:08,319590,57.84774193548387,20:54:08,29,38,435.0,389.5,42.40327586206897,42.101012859098326,10,car
2020-03-06 20:54:09,319620,66.41777777777777,20:54:09,29,38,439.0,395.5,42.40327586206897,42.101012859098326,10,car
2020-03-06 20:54:10,319650,61.83724137931034,20:54:10,29,38,443.0,387.5,42.40327586206897,42.7405748722372,10,car
2020-03-06 20:54:11,319680,66.41777777777777,20:54:11,26,36,444.0,391.0,47.29596153846155,42.85353269100065,10,car
2020-03-06 20:54:12,319710,66.41777777777777,20:54:12,23,36,442.0,392.5,53.46500000000001,42.94369323331512,10,car
2020-03-06 20:54:13,319740,66.41777777777777,20:54:13,29,36,442.0,389.5,42.40327586206897,42.94369323331512,10,car
2020-03-06 20:54:14,319770,66.41777777777777,20:54:14,26,36,442.0,391.0,47.29596153846155,42.94369323331512,10,car
2020-03-06 20:54:15,319800,61.83724137931034,20:54:15,26,36,440.0,391.0,47.29596153846155,42.94369323331512,10,car
2020-03-06 20:54:16,319830,66.41777777777777,20:54:16,26,36,438.0,396.0,47.29596153846155,42.94369323331512,10,car
2020-03-06 20:54:17,319860,61.83724137931034,20:54:17,29,36,436.0,389.5,42.40327586206897,42.94369323331512,10,car
2020-03-06 20:54:18,319890,66.41777777777777,20:54:18,23,36,436.0,392.5,53.46500000000001,42.94369323331512,10,car
2020-03-06 20:54:19,319920,66.41777777777777,20:54:19,26,36,438.0,391.0,47.29596153846155,42.94369323331512,10,car
2020-03-06 20:54:20,319950,66.41777777777777,20:54:20,26,36,436.0,391.0,47.29596153846155,42.71692267084316,10,car
2020-03-06 20:54:21,319980,61.83724137931034,20:54:21,29,40,436.0,387.5,42.40327586206897,42.4347367372908,10,car
2020-03-06 20:54:22,320010,61.83724137931034,20:54:22,26,38,437.0,391.0,47.29596153846155,42.23163061405915,10,car
2020-03-06 20:54:23,320040,54.34181818181818,20:54:23,31,40,440.0,393.5,39.667580645161294,42.04936988252222,10,car
2020-03-06 20:54:24,320070,54.34181818181818,20:54:24,31,42,441.0,390.5,39.667580645161294,41.84607887544941,10,car
2020-03-06 20:54:25,320100,54.34181818181818,20:54:25,31,42,439.0,396.5,39.667580645161294,41.84607887544941,10,car
2020-03-06 20:54:26,320130,54.34181818181818,20:54:26,29,44,430.0,392.5,42.40327586206897,41.84607887544941,10,car
2020-03-06 20:54:27,320160,57.84774193548387,20:54:27,29,44,428.0,389.5,42.40327586206897,41.84607887544941,10,car
2020-03-06 20:54:28,320190,57.84774193548387,20:54:28,31,44,426.0,390.5,39.667580645161294,41.49097850690442,10,car
2020-03-06 20:54:29,320220,54.34181818181818,20:54:29,29,44,422.0,397.5,42.40327586206897,41.49097850690442,10,car
2020-03-06 20:54:30,320250,57.84774193548387,20:54:30,29,44,428.0,389.5,42.40327586206897,40.85815438288563,10,car
2020-03-06 20:54:31,320280,51.23657142857143,20:54:31,31,44,436.0,393.5,39.667580645161294,38.153215975002446,10,car
2020-03-06 20:54:32,320310,48.46702702702703,20:54:32,34,48,460.0,395.0,36.167500000000004,35.2936619006399,10,car
2020-03-06 20:54:33,320340,43.73853658536585,20:54:33,37,62,497.0,399.5,33.23500000000001,33.08742648724876,10,car
2020-03-06 20:54:34,320370,43.73853658536585,20:54:34,39,86,493.0,400.5,31.530641025641028,31.358199007170427,10,car
2020-03-06 20:54:35,320400,39.85066666666667,20:54:35,45,100,446.0,400.5,27.326555555555558,29.39629261775277,10,car
2020-03-06 20:54:36,320430,38.98434782608695,20:54:36,45,114,363.0,403.5,27.326555555555558,27.85197046118733,10,car
2020-03-06 20:54:37,320460,38.98434782608695,20:54:37,47,126,277.0,396.5,26.16372340425532,26.918857027971143,10,car
2020-03-06 20:54:38,320490,37.36,20:54:38,47,140,174.0,393.5,26.16372340425532,26.85620607641293,10,car
2020-03-06 20:54:39,320520,41.70418604651163,20:54:39,39,68,34.0,394.5,31.530641025641028,26.85620607641293,10,car
2020-03-06 20:48:05,308700,12.282739726027398,20:48:05,140,212,348.0,430.0,8.783535714285716,8.714508808234012,10,car
2020-03-06 20:48:06,308730,14.579512195121952,20:48:06,121,176,362.0,420.5,10.162768595041324,9.659673051318189,10,car
2020-03-06 20:48:07,308760,19.92533333333333,20:48:07,90,128,378.0,407.0,13.663277777777779,16.11386078357223,10,car
2020-03-06 20:48:08,308790,27.17090909090909,20:48:08,63,98,397.0,398.5,19.518968253968257,19.81981101785447,10,car
2020-03-06 20:48:09,308820,30.91862068965517,20:48:09,55,80,406.0,397.5,22.35809090909091,22.829865016901767,10,car
2020-03-06 20:48:10,308850,35.8656,20:48:10,50,66,415.0,395.0,24.593900000000005,25.29483873856584,10,car
2020-03-06 20:48:11,308880,38.98434782608695,20:48:11,45,60,424.0,395.5,27.326555555555558,28.11830680801693,10,car
2020-03-06 20:48:12,308910,39.85066666666667,20:48:12,45,56,424.0,392.5,27.326555555555558,28.92329121473367,10,car
